c	e	r	a	l	NG50	Index
1	50000	0.000000	0.999999	1	26323	1
1	50000	0.500000	0.999999	1	225254	2
1	50000	1.000000	0.999999	1	235431	3
1	50000	0.694575	0.999999	1	235431	4
1	50000	0.044860	0.999999	1	213093	5
1	50000	0.096630	0.999999	1	225254	6
1	50000	0.069086	0.999999	1	194870	7
1	50000	0.135363	0.999999	1	241917	8
1	50000	0.116963	0.999999	1	225254	9
1	50000	0.162725	0.999999	1	225254	10
1	50000	0.209051	0.999999	1	460557	11
1	50000	0.224229	0.999999	1	460557	12
1	50000	0.216382	0.999999	1	460557	13
1	50000	0.245118	0.999999	1	254839	14
1	50000	0.193877	0.999999	1	225254	15
1	50000	0.308361	0.999999	1	194157	16
1	50000	0.211842	0.999999	1	460557	17
1	50000	0.027063	0.999999	1	158289	18
1	50000	0.221080	0.999999	1	460557	19
1	50000	0.082882	0.999999	1	225254	20
1	50000	0.210209	0.999999	1	460557	21
1	50000	0.056500	0.999999	1	194870	22
1	50000	0.015497	0.999999	1	112243	23
1	50000	0.222897	0.999999	1	460557	24
1	50000	0.214191	0.999999	1	460557	25
1	50000	0.148388	0.999999	1	241917	26
1	50000	0.218705	0.999999	1	460557	27
1	50000	0.209624	0.999999	1	460557	28
1	50000	0.223536	0.999999	1	460557	29
1	50000	0.227595	0.999999	1	460557	30
1	50000	0.226393	0.999999	1	460557	31
1	50000	0.226961	0.999999	1	460557	32
1	50000	0.213024	0.999999	1	460557	33
1	50000	0.217541	0.999999	1	460557	34
1	50000	0.366553	0.999999	1	225254	35
1	50000	0.219884	0.999999	1	460557	36
1	50000	0.036279	0.999999	1	158289	37
1	50000	0.215286	0.999999	1	460557	38
1	50000	0.209633	0.999999	1	460557	39
1	50000	0.226940	0.999999	1	460557	40
1	50000	0.222020	0.999999	1	460557	41
1	50000	0.226928	0.999999	1	460557	42
1	50000	0.425108	0.999999	1	225254	43
1	50000	0.209594	0.999999	1	460557	44
1	50000	0.226974	0.999999	1	460557	45
1	50000	0.213391	0.999999	1	460557	46
1	50000	0.209707	0.999999	1	460557	47
1	50000	0.209716	0.999999	1	460557	48
1	50000	0.216973	0.999999	1	460557	49
1	50000	0.219285	0.999999	1	460557	50
1	50000	0.226881	0.999999	1	460557	51
1	50000	0.214868	0.999999	1	460557	52
1	50000	0.007789	0.999999	1	63786	53
1	50000	0.106236	0.999999	1	225254	54
1	50000	0.003061	0.999999	1	43487	55
1	50000	0.212452	0.999999	1	460557	56
1	50000	0.220555	0.999999	1	460557	57
1	50000	0.021157	0.999999	1	112243	58
1	50000	0.218122	0.999999	1	460557	59
1	50000	0.226850	0.999999	1	460557	60
1	50000	0.222446	0.999999	1	460557	61
1	50000	0.215894	0.999999	1	460557	62
1	50000	0.209725	0.999999	1	460557	63
1	50000	0.213844	0.999999	1	460557	64
1	50000	0.209774	0.999999	1	460557	65
1	50000	0.226887	0.999999	1	460557	66
1	50000	0.221517	0.999999	1	460557	67
1	50000	0.209739	0.999999	1	460557	68
1	50000	0.223069	0.999999	1	460557	69
1	50000	0.225072	0.999999	1	460557	70
1	50000	0.223973	0.999999	1	460557	71
1	50000	0.226883	0.999999	1	460557	72
1	50000	0.226798	0.999999	1	460557	73
1	50000	0.212723	0.999999	1	460557	74
1	50000	0.219957	0.999999	1	460557	75
1	50000	0.209568	0.999999	1	460557	76
1	50000	0.218289	0.999999	1	460557	77
1	50000	0.211153	0.999999	1	460557	78
1	50000	0.216911	0.999999	1	460557	79
1	50000	0.215607	0.999999	1	460557	80
1	50000	0.214532	0.999999	1	460557	81
1	50000	0.209658	0.999999	1	460557	82
1	50000	0.226865	0.999999	1	460557	83
1	50000	0.219138	0.999999	1	460557	84
